"last_name, first_name","player_id","year","pa","single","double","triple","home_run","batting_avg","slg_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Morton, Charlie","450203","2024","701","94","35","2","23",".251",".427",".335",".326",33,9.3,38.4,"77.729736875","93.929105313",26.1,46.6
"Lynn, Lance","458681","2024","511","75","21","1","16",".247",".402",".314",".340",37,10.5,39.3,"77.577234686","94.259379457",24.1,48.4
"Quintana, Jose","500779","2024","717","96","29","3","22",".237",".396",".312",".327",32.9,6.7,38.2,"76.44604848","93.89600374",22.2,43.1
"Gibson, Kyle","502043","2024","722","104","30","4","23",".251",".418",".323",".338",34.3,9.2,39.1,"76.558654534","94.071640304",25.9,42.9
"Sale, Chris","519242","2024","702","96","32","4","9",".216",".319",".260",".261",34.9,5.6,31.2,"75.016805094","93.046190662",31,49
"Pérez, Martín","527048","2024","590","101","28","0","22",".283",".460",".351",".353",34.3,8.6,41.5,"76.89241338","94.749829061",21,46
"Anderson, Tyler","542881","2024","765","99","32","3","24",".232",".394",".308",".322",34.1,7.9,33,"76.273537333","93.1219435",27.8,49.3
"Eovaldi, Nathan","543135","2024","696","94","28","2","23",".229",".386",".291",".306",33.5,7.7,42.6,"77.906442017","94.485768718",26.8,52.2
"Gray, Sonny","543243","2024","671","82","33","6","21",".228",".401",".292",".297",38.1,8.9,37.9,"79.276406538","94.211961253",29.8,48.7
"Hendricks, Kyle","543294","2024","567","110","15","1","21",".286",".442",".339",".336",36.4,7.4,33.4,"73.587198843","93.098027796",18.9,46.2
"Suárez, Albert","544150","2024","565","78","34","1","17",".255",".425",".320",".311",38,7.1,38.4,"78.437722921","93.664169109",24.6,50.4
"Lorenzen, Michael","547179","2024","535","63","20","1","17",".216",".372",".303",".329",32.2,8,39.4,"76.902993817","94.185249946",22.8,44.7
"Wheeler, Zack","554430","2024","787","86","28","5","20",".192",".328",".256",".261",32.6,8.3,33.6,"74.93491968","93.046728036",27.5,51.2
"Corbin, Patrick","571578","2024","764","134","42","7","25",".298",".486",".357",".357",37.3,8.3,46.7,"79.877843129","95.30570991",22.4,48.2
"Heaney, Andrew","571760","2024","693","105","30","1","23",".251",".410",".312",".325",37.4,8.3,40.1,"78.990582236","94.388347616",26.3,50.3
"Mikolas, Miles","571945","2024","720","113","51","4","26",".284",".485",".339",".331",38.1,8.1,42.3,"77.511449435","94.25374515",16.4,49.8
"Stroman, Marcus","573186","2024","675","116","28","4","19",".277",".431",".341",".340",35.5,6.7,40.2,"78.437503663","94.344487814",20.4,43.9
"Kikuchi, Yusei","579328","2024","736","118","23","1","25",".245",".391",".297",".298",33.5,9.7,45,"79.146503958","94.844128643",29,48.4
"Gausman, Kevin","592332","2024","756","101","41","3","20",".238",".392",".300",".333",35.5,9.7,42.4,"79.496181832","94.740771683",23.4,49.9
"Taillon, Jameson","592791","2024","675","107","24","2","21",".243",".387",".289",".311",32.2,7.2,38.8,"79.650003386","94.067909961",19.5,48.2
"Montas, Frankie","593423","2024","655","87","28","1","24",".243",".420",".325",".333",36.2,9.2,43.1,"77.762357972","94.576313396",24.9,48.7
"Lively, Ben","594902","2024","632","86","26","4","23",".241",".419",".315",".309",30.7,6.5,41.5,"80.455663231","94.191914792",18.6,46.6
"Gomber, Austin","596295","2024","696","105","39","4","30",".273",".482",".339",".344",37.7,9.6,41.2,"80.036265299","94.432492071",19.9,48.3
"Pivetta, Nick","601713","2024","595","73","23","4","28",".231",".439",".306",".291",38.9,10.1,38.9,"79.225758698","93.96201671",25.6,50.3
"Bassitt, Chris","605135","2024","758","132","29","1","18",".270",".397",".331",".327",36.3,7.5,37.1,"75.64419492","94.077816493",21.7,45
"Nola, Aaron","605400","2024","820","118","39","2","30",".247",".421",".310",".299",35.4,7.2,38.2,"77.265343569","94.038174053",25.2,48.6
"Rea, Colin","607067","2024","714","105","33","2","29",".258",".447",".327",".339",36.3,8.7,42,"80.213678192","94.594415173",19.3,46.8
"Rodón, Carlos","607074","2024","736","90","32","4","31",".235",".435",".320",".314",34.6,11,40.9,"80.220048043","94.543522745",30.1,49.4
"Glasnow, Tyler","607192","2024","522","48","27","2","15",".190",".347",".258",".254",32.5,8.5,40.1,"78.136298153","94.139426422",30.9,48.4
"Fedde, Erick","607200","2024","726","100","30","4","20",".233",".381",".293",".306",32.4,7.6,37.7,"77.502500545","93.941632164",21.6,45.5
"Martinez, Nick","607259","2024","570","81","32","2","13",".237",".377",".279",".278",34,5.1,30.5,"74.850496934","92.978959505",23.1,51.1
"Lugo, Seth","607625","2024","836","119","36","6","16",".229",".353",".278",".300",32.8,8,39,"77.299278949","93.994017356",22.5,46.7
"Fried, Max","608331","2024","714","116","16","1","13",".226",".315",".273",".299",30.4,5,34.6,"73.871292176","93.362715837",24.1,45.9
"Wacha, Michael","608379","2024","685","104","29","4","17",".246",".387",".300",".311",32.7,8.2,32.5,"75.614261583","93.109005646",23.3,48.5
"Quantrill, Cal","615698","2024","656","101","26","6","23",".273",".461",".358",".351",37.1,7.3,41.2,"77.92321026","94.354738243",21.6,45.7
"Eflin, Zach","621107","2024","684","114","28","2","22",".254",".404",".297",".297",30,7.5,36.1,"76.388751434","94.040596667",21.6,50
"Berríos, José","621244","2024","786","112","21","4","31",".235",".406",".308",".334",36.3,7.8,41.8,"79.087839143","94.188449928",21.1,46.7
"Castillo, Luis","622491","2024","719","95","36","2","25",".238",".412",".305",".306",37,8.5,41.9,"78.938131564","94.546516728",25.9,50.6
"Severino, Luis","622663","2024","761","118","23","2","23",".243",".383",".308",".305",30.4,5.7,35.6,"75.272418577","93.515669191",22,50.6
"Flexen, Chris","623167","2024","707","109","44","3","24",".283",".476",".355",".333",37,8.1,37.4,"77.948608016","93.935523035",22.7,46
"Suárez, Ranger","624133","2024","626","92","32","2","14",".243",".379",".297",".297",32.9,5.1,34.3,"74.743507217","93.618829764",21.9,47.3
"López, Reynaldo","625643","2024","543","74","22","2","10",".220",".333",".271",".307",37.3,8.8,42.2,"79.439650977","94.317767471",27.5,49
"Manaea, Sean","640455","2024","738","86","27","0","21",".202",".338",".275",".300",37,7.5,37.8,"77.674456946","93.857812243",26.1,49
"López, Pablo","641154","2024","772","121","33","0","26",".252",".407",".306",".297",35.9,8.2,37.5,"76.717040308","93.587928673",27,51.8
"Cortes Jr., Nestor","641482","2024","710","94","44","0","24",".245",".421",".307",".295",35,7.9,43.6,"79.122676225","94.470879177",24.2,50.4
"Littell, Zack","641793","2024","656","111","29","2","22",".265",".426",".317",".321",36.2,9.6,39.2,"78.590295546","94.137344568",23.1,51.9
"Ober, Bailey","641927","2024","709","75","29","5","27",".208",".391",".282",".279",34.8,8.3,34.3,"76.699154464","93.270078151",29,52.4
"Peralta, Freddy","642547","2024","725","92","24","1","26",".224",".387",".305",".305",35.3,8.7,36.9,"75.95026724","93.640809751",31.1,46.9
"King, Michael","650633","2024","726","98","27","2","17",".221",".346",".284",".294",35.2,6.2,30.3,"73.981359732","92.671656987",29.3,45.4
"Civale, Aaron","650644","2024","689","98","31","0","29",".252",".440",".327",".309",36.5,7.3,39.4,"79.152007238","94.002413711",21.9,45.2
"Sánchez, Cristopher","650911","2024","754","135","34","2","11",".258",".358",".290",".293",30.2,5.4,34.5,"75.18960646","93.870693047",24.3,51.6
"Canning, Griffin","656288","2024","739","112","28","3","31",".265",".459",".341",".334",32.4,8.6,41.9,"80.443886517","94.700505891",24.5,48.4
"Cease, Dylan","656302","2024","762","84","34","1","18",".200",".332",".266",".283",32.4,8.5,38.6,"78.282702241","94.084709267",32.4,48.2
"Flaherty, Jack","656427","2024","649","88","18","5","24",".223",".388",".288",".292",36.1,7.7,35.9,"77.445862362","93.776478992",32.1,46.2
"Houck, Tanner","656557","2024","743","118","27","0","11",".231",".320",".276",".313",30.2,5.7,41.8,"78.489312385","94.430703969",22.6,46.8
"Keller, Mitch","656605","2024","773","110","38","11","23",".261",".446",".331",".320",38,7.2,39.3,"77.859026134","94.078079089",21.5,47.6
"Montgomery, Jordan","656756","2024","532","92","40","3","14",".312",".496",".370",".347",36.6,6,41,"77.212722234","94.218289135",26.9,49.6
"Peterson, David","656849","2024","510","79","22","1","8",".243",".349",".299",".329",35.7,7.3,42.7,"78.331204972","94.426613853",25.6,47.8
"Steele, Justin","657006","2024","555","76","23","0","12",".219",".336",".271",".258",30.9,4.2,33.2,"75.731326576","93.083319918",23.7,51.5
"Webb, Logan","657277","2024","841","152","35","4","11",".258",".355",".288",".320",32.1,7,46.2,"77.927662825","95.233452829",20.8,46.2
"Ryan, Joe","657746","2024","538","61","24","6","19",".217",".400",".282",".264",33.6,8.5,36.6,"77.148522833","93.914347298",26.6,50.9
"Gil, Luis","661563","2024","637","56","28","2","18",".189",".345",".288",".302",33.7,9.5,37.4,"78.931048895","94.034939077",29,45.5
"Waldron, Matt","663362","2024","625","90","32","2","21",".255",".430",".323",".313",33.9,7,35,"77.177450505","93.585477592",20.8,45.3
"Feltner, Ryan","663372","2024","692","116","27","2","20",".263",".408",".320",".320",33.1,6.5,36.8,"76.695048857","93.803345297",23.9,48.1
"Falter, Bailey","663559","2024","589","86","34","1","17",".260",".424",".320",".336",36.6,9,41.3,"79.920380413","94.430660482",19.6,49.5
"Irvin, Jake","663623","2024","769","103","38","3","29",".244",".428",".314",".320",33,9.2,39.1,"77.537675273","94.341422273",22.3,48.5
"Singer, Brady","663903","2024","762","116","34","3","22",".253",".405",".316",".331",35.6,8,41.7,"77.275001577","94.43000817",25.1,44.7
"Valdez, Framber","664285","2024","703","102","24","1","13",".221",".323",".272",".287",26,5.3,45,"80.000726364","94.620557662",27.2,44.9
"Kremer, Dean","665152","2024","553","73","19","0","18",".223",".371",".294",".326",31.1,9.8,35.4,"75.880741892","93.507892033",23.3,46.2
"Assad, Javier","665871","2024","638","91","30","2","20",".254",".422",".330",".341",36,8.8,39.8,"78.304060092","94.272452936",17.9,42.5
"Ragans, Cole","666142","2024","762","96","32","3","15",".213",".334",".277",".283",31.8,6.2,35.4,"77.675891223","93.553010853",32,48.9
"Gallen, Zac","668678","2024","621","86","29","5","13",".237",".376",".301",".308",34.9,7.4,41,"79.81895601","94.40298237",26,44.2
"Greene, Hunter","668881","2024","611","62","19","3","12",".183",".298",".265",".271",29,5.2,32.5,"76.321243094","93.167150497",29.7,50.6
"Myers, Tobias","668964","2024","569","88","19","1","18",".242",".387",".297",".317",36.4,8,38.7,"79.298209695","94.361623995",21.3,49.6
"Gore, MacKenzie","669022","2024","731","117","36","3","15",".263",".398",".324",".316",36.2,6.8,38.1,"76.776975684","93.73951438",28.6,50.4
"Nelson, Ryne","669194","2024","630","93","36","9","17",".266",".446",".322",".315",34.5,7.5,41.6,"79.83287319","94.487586272",18.2,51.8
"Burnes, Corbin","669203","2024","784","121","21","1","22",".226",".347",".273",".284",26.8,6.7,31.6,"76.693803832","93.206229159",28.6,48.8
"Gilbert, Logan","669302","2024","803","82","39","1","26",".196",".353",".255",".276",33,7.2,39.3,"78.976067127","94.386132799",31.7,50.4
